------------------------------------------------------------------------------------------------------------------------------------
| NETWORK      | DF-PERCENT | RELAX OBJ | INT OBJ | GAP  | #GEN CONFIG | # SELECTED CONFIG | KEEP CONFIG | RELAX TIME | TOTAL TIME |
------------------------------------------------------------------------------------------------------------------------------------
| ATLANTA-0    |   0        | 107271.00 | 107325  | 0.05 |  636        |  92               |  202        |   2095     |   2123     |
| ATLANTA-10   |  10        | 109736.00 | 109818  | 0.07 | 1260        | 113               |  278        |   6052     |   6183     |
| ATLANTA-100  | 100        | 217916.00 | 218235  | 0.15 | 3756        | 374               | 1247        | 112840     | 118963     |
| ATLANTA-20   |  20        | 133248.50 | 133397  | 0.11 | 1191        | 163               |  335        |   6602     |   6740     |
| ATLANTA-30   |  30        | 141516.50 | 141716  | 0.14 | 1572        | 183               |  428        |  17565     |  18333     |
| ATLANTA-40   |  40        | 171708.00 | 171924  | 0.13 | 3029        | 248               |  628        |  37476     |  39111     |
| ATLANTA-50   |  50        | 180112.75 | 180323  | 0.12 | 3434        | 286               |  861        |  57045     |  59393     |
| ATLANTA-60   |  60        | 181248.83 | 181484  | 0.13 | 5410        | 314               | 1422        | 301151     | 307023     |
| ATLANTA-70   |  70        | 184169.33 | 184424  | 0.14 | 7044        | 368               | 1227        | 173638     | 181633     |
| ATLANTA-80   |  80        | 190420.68 | 190692  | 0.14 | 7280        | 442               | 2153        | 280390     | 291577     |
| ATLANTA-90   |  90        | 196144.93 | 196389  | 0.12 | 5093        | 358               | 1167        | 142115     | 147567     |
| NOBEL-US-0   |   0        |   5152.30 |   5197  | 0.87 | 1117        |  91               |  221        |   3438     |   3463     |
| NOBEL-US-10  |  10        |   8379.15 |   8527  | 1.76 | 1887        | 146               |  326        |  12447     |  12530     |
| NOBEL-US-20  |  20        |  10353.14 |  10536  | 1.77 | 3809        | 227               |  820        |  27105     |  27423     |
| NOBEL-US-30  |  30        |  10759.33 |  10970  | 1.96 | 5172        | 240               |  750        |  45162     |  46111     |
| NOBEL-US-40  |  40        |  10759.33 |  10951  | 1.78 | 7082        | 259               |  967        |  95863     |  97182     |
| NOBEL-US-50  |  50        |  10990.33 |  11179  | 1.72 | 7352        | 392               |  960        | 118468     | 121590     |
| NOBEL-US-60  |  60        |  11661.50 |  11875  | 1.83 | 8671        | 411               | 1166        | 198794     | 205349     |
| NOBEL-US-70  |  70        |  12538.83 |  12780  | 1.92 | 7223        | 437               | 1114        | 156210     | 163988     |
| NOBEL-US-90  |  90        |  12773.67 |  13020  | 1.93 | 7552        | 453               | 1293        | 332305     | 354254     |
| POLSKA-0     |   0        |  11108.75 |  11189  | 0.72 |  496        |  88               |  179        |    412     |    418     |
| POLSKA-10    |  10        |  17672.00 |  17727  | 0.31 |  691        |  98               |  228        |   1131     |   1144     |
| POLSKA-100   | 100        |  23777.19 |  24132  | 1.49 | 4088        | 422               |  963        |  51395     |  56667     |
| POLSKA-20    |  20        |  20081.87 |  20182  | 0.50 | 1313        | 141               |  313        |   3105     |   3193     |
| POLSKA-30    |  30        |  20957.50 |  21085  | 0.61 | 1592        | 180               |  394        |   4796     |   4878     |
| POLSKA-40    |  40        |  21211.21 |  21408  | 0.93 | 1986        | 228               |  504        |   7983     |   8470     |
| POLSKA-50    |  50        |  21311.68 |  21525  | 1.00 | 2451        | 250               |  574        |  12274     |  12916     |
| POLSKA-60    |  60        |  22649.82 |  22896  | 1.09 | 2982        | 321               |  747        |  17522     |  18624     |
| POLSKA-70    |  70        |  23117.16 |  23396  | 1.21 | 4057        | 347               |  829        |  31433     |  32678     |
| POLSKA-80    |  80        |  23180.22 |  23557  | 1.63 | 4259        | 423               |  909        |  42193     |  43448     |
| POLSKA-90    |  90        |  23180.22 |  23521  | 1.47 | 4321        | 434               |  971        |  48480     |  51065     |
| US14N21S-0   |   0        |   2957.75 |   3004  | 1.56 |  747        |  82               |  198        |   1768     |   1790     |
| US14N21S-10  |  10        |   4554.83 |   4659  | 2.29 | 1443        | 167               |  399        |   5500     |   5653     |
| US14N21S-100 | 100        |   6955.50 |   7233  | 3.99 | 8139        | 402               | 1235        | 350095     | 397880     |
| US14N21S-20  |  20        |   5698.00 |   5815  | 2.05 | 4203        | 222               |  673        |  32025     |  32368     |
| US14N21S-30  |  30        |   5728.53 |   5882  | 2.68 | 5274        | 267               | 1105        |  66796     |  67973     |
| US14N21S-40  |  40        |   5747.88 |   5906  | 2.75 | 5872        | 292               | 1225        | 106863     | 109338     |
| US14N21S-50  |  50        |   5992.75 |   6137  | 2.41 | 7567        | 324               |  927        | 145377     | 177233     |
| US14N21S-60  |  60        |   6154.06 |   6340  | 3.02 | 7082        | 349               | 1528        | 169451     | 176084     |
| US14N21S-70  |  70        |   6351.42 |   6558  | 3.25 | 7606        | 340               | 1097        | 189851     | 224404     |
| US14N21S-80  |  80        |   6886.75 |   7055  | 2.44 | 6149        | 369               | 1104        | 169929     | 213855     |
| US14N21S-90  |  90        |   6955.50 |   7181  | 3.24 | 6784        | 364               | 1215        | 245049     | 284702     |
------------------------------------------------------------------------------------------------------------------------------------
